query_id,item_id
i05,v02931
i05,s00310
i08,a00461
i08,s0044
i016,s00519
i016,a00651
i016,a00729
i018,s00160
i042,a00954
i17,a00461
i121,s00797
i121,a00140
i121,a00144
i121,a00180
i121,a00135
i121,a00396
i144,a00241
i144,a00940
i144,a00467
i21,a00807
i21,a00825
i21,a00822
i22,a00807
i22,a00825
i22,a00822
i23,a00807
i23,a00825
i23,a00822
i24,a00807
i24,a00825
i24,a00822
i25,a00807
i25,a00825
i25,a00822
i347,a00246
i347,v01608
i347,a00810
i347,a00070
i347,a00814
i515,a00208
i523,v02055
i527,a00763
i528,s00160
i544,a00612
i545,s00446
i549,a00147
i549,a00160
i549,a00139
i628,a00243
i812,a00439
i812,s00780
i820,v01787
i822,a00760
i845,s00320
i845,v01029
i848,a00824
i97,v03248
i97,v03249
i910,v03249
i921,s00873
i921,s00874
i928,a00089
i930,a00089
i1012,v02931
i1012,s00947
i1012,s00948
i1020,a00734
i1020,a00720
i1050,v01175
i1117,a00054
i1117,a00935
i1142,a00072
i1142,a00086
i1145,s00210
i1146,a00231
i1146,s00586
i1146,a00939
i1146,s00611
i126,a00535
i1214,a00159
i1216,a00163
i1218,a00146
i1218,a00159
i1218,a00089
i1228,a00159
i132,a00156
i1348,a00241
i1348,a00467
i1348,a00940
i163,a00248
i163,a00240
i163,s00659
i163,s00645
i163,s00646
i163,s00730
i163,s00731
i1627,v01607
i1627,s00411
i1627,s00412
i1627,s00800
i1627,s00791
i1627,s00792
i1629,s00411
i1629,s00412
i1634,v01499
i1634,s00312
i1634,s00313
i1634,a00641
i1634,s00344
i1634,s00753
i1634,s00442
i1634,a00882
i1634,s00956
i1634,a00444
i1634,s125
i1634,a00434
i1639,a00580
i1721,a00580
i1721,a00828
i1721,a00577
i1730,a00723
i1730,a00396
i1730,a00789
i1730,a00395
i1731,a00059
i1736,a00396
i1736,a00395
i1749,s53
i1829,s7
i1928,s0050
i1931,a00085
i2019,a00179
i2019,a00177
i2113,a00510
i2113,a00937
i2113,a00368
i2113,a00225
i2113,a00111
i2114,a00100
i2114,a00107
i2114,a00093
i2114,a00225
i2114,a00114
i2114,a00510
i2115,a00073
i2115,a00100
i2115,a00940
i2115,a00225
i2115,a00107
i2115,a00241
i2115,a00114
i2115,a00510
i2115,a00247
i2119,v01091
i2119,v01284
i2119,v01345
i2119,v01787
i2119,v01104
i2120,v01284
i2542,a00466
i2542,a00848
i2542,a00948
i262,a00070
i262,a00179
i262,a00076
i262,v01608
i2642,v03218
i2646,v03218
i2647,v03218
i2723,s00345
i2723,a00072
i2723,a00086
i2723,a00667
i2735,s00373
i2735,s00374
i2819,a00451
i2820,a00072
i2837,s00445
i2837,s00341
i2837,s0010
i2837,s00532
i2837,s00250
i2837,s00314
i2837,s00315
i2837,s00210
i2837,s0037
i2840,s00849
i2840,s00850
i2847,a00139
i2847,a00177
i2847,a00162
i2847,a00143
i2847,a00156
i291,a00177
i291,a00139
i291,a00156
i2914,a00535
i2933,a00525
i2933,s00634
i2933,s00635
i2933,a00845
i2940,v01027
i2940,s7
i305,a00848
i3022,a00139
i3031,a00954
i3112,a00100
i3112,a00073
i3112,a00713
i3112,a00225
i3112,a00217
i3114,a00396
i3211,a00449
i3223,s00475
i3223,s00541
i3223,s00542
i3232,a00236
i3236,a00450
i3242,s00348
i3243,s00611
i3243,a00789
i3243,a00232
i3324,a00236
i3334,v01497
i3334,s95
i3334,v01613
i3334,s00780
i3334,v01286
i3334,v00489
i3338,a00947
i3338,a00955
i3338,a00945
i3343,a00085
i3346,a00219
i3349,a00913
i3430,a00954
i3436,a00535
i3438,a00725
i3440,a00070
i3440,a00725
i3444,a00093
i3444,a00848
i3450,a00443
i3450,v01328
i3513,a00099
i3513,a00225
i3513,a00107
i3513,a00106
i3513,a00108
i3514,a00093
i3514,a00073
i3514,a00106
i3515,s00407
i3515,s00210
i3515,v00003
i3526,a00848
i361,a00396
i3616,s0050
i3617,s0050
i3640,a00955
i4043,a00719
i4046,a00719
i4046,a00232
i4047,a00232
i415,s7
i415,s95
i415,v01027
i415,s49
i4116,s00789
i4116,v01286
i4116,v01104
i4129,s00611
i4129,s00880
i4129,a00232
i4129,a00228
i4129,s00726
i4136,a00231
i4136,a00939
i4136,a00232
i4335,s95
i4414,a00230
i4414,a00938
i4414,a00232
i4414,a00231
i4429,s001
i4429,s002
i4429,s53
i4436,a00086
i4438,v01733
i4438,s00537
i4438,s00492
i4442,s146
i451,a00378
i4517,a00910
i4524,s47
i4525,a01094
i4640,v01104
i4640,v01345
i4640,v01787
i478,v01787
i478,v01104
i4714,v01787
i4714,v01104
i4715,v01787
i4715,v01104
i4716,v01787
i4716,v01104
i4716,v01091
i4722,a00954
i4735,v01787
i4735,v01104
i4735,v01284
i4736,v01787
i4736,v01104
i487,a00455
i4815,a00231
i4815,a00232
i4821,a00444
i4827,v01787
i4827,v02796
i4827,v01618
i4926,a00214
i4926,a00486
i4926,a00239
i4926,a00942
i4927,a00455
i4928,a00848
i4928,a00111
i4928,a00612
i4928,a00225
i4928,a00948
i4944,a00848
i5035,a00883
i5035,v00456
i5036,a00726
i5036,a00825
i5039,a00480
i5039,a00461
i5117,a00461
i5140,s00160
i5149,v01104
i5311,a00911
i5311,v00614
i5311,a00948
i5312,s0057
i5316,a00170
i5318,a00135
i5318,a00183
i5318,a00138
i5319,v02768
i5319,s00611
i5319,v01453
i5331,s0057
i5337,a00934
i5339,a00889
i5339,s00249
i5339,a00070
i5339,s00212
i5339,s00250
i5340,a00948
i5343,a00443
i5346,a00954
i5346,v01659
i5346,v01285
i5435,a00073
i5436,a00481
i5436,a00490
i5436,a00496
i5437,a00921
i5437,a00930
i5437,a00495
i5440,a00241
i5440,a00496
i5440,a00465
i557,s0057
i559,v01184
i5516,a00480
i5516,a00449
i5519,a00334
i5549,s00172
i569,a00443
i5615,a00108
i5615,a00107
i5646,a00073
i5646,a00225
i5646,a00717
i5646,a00504
i5646,a00107
i5646,a00708
i5646,a00100
i5646,a00227
i574,a00911
i5717,a00156
i5717,a00177
i5722,v01027
i5722,s95
i5729,a00948
i5731,a00072
i5825,a00089
i5828,a00217
i5835,a00840
i5924,a00059
i5931,a00368
i5931,a00937
i6020,a00461
i6020,a00449
i6027,a00945
i6028,a00405
i6028,s00971
i6028,s00906
i6028,s00907
i6031,a00225
i6031,a00396
i6049,a00093
i6049,a00161
i6136,a00705
i6137,a00510
i6137,a00114
i6137,a00073
i6137,a00247
i6137,a00225
i6138,a00247
i6240,a00232
i6240,a00789
i6243,a00232
i6328,s00780
i6328,v01104
i6328,v01284
i6328,a00439
i6333,v03218
i6337,s28
i6337,a00807
i6337,a00677
i6337,a00595
i6337,a00598
i6337,a00885
i6411,a00930
i6418,v00894
i6419,v01027
i6419,v00894
i6419,a00439
i6419,s95
i6447,s00210
i6447,s00540
i6447,s00509
i6447,s00472
i658,a00789
i659,a00789
i6510,a00381
i6518,a00948
i6533,a00480
i668,a00940
i668,a00241
i6636,a00089
i671,a00100
i672,a00666
i672,v01283
i6830,a00940
i6830,a00241
i6830,s00608
i6830,a00741
i6846,v01787
i695,a00147
i695,a00176
i695,a00161
i695,a00162
i695,a00156
i697,a00802
i697,s00873
i697,s00874
i697,a00885
i6910,v00894
i6910,v01495
i6911,a00138
i6912,a00713
